"HARD COST:HC DIV 10 - Specialties:HC 10.5 Safety Specialties (ADA, Fire Cabinets)",Expenses,Other Business Expenses
HARD COST:HC DIV 10 - Specialties:HC 10.7 Postal Specialties,Expenses,Other Business Expenses
HARD COST:HC DIV 10 - Specialties:HC 10.8 Wardrobe and Closet Specialties,Expenses,Other Business Expenses
HARD COST:HC DIV 11 - Equipment,Expenses,Other Business Expenses
HARD COST:HC DIV 11 - Equipment:HC 11.1 Vehicle and Pedestrian Equipment,Expenses,Other Business Expenses
HARD COST:HC DIV 11 - Equipment:HC 11.2 Residential Equipment / Appliances,Expenses,Other Business Expenses
HARD COST:HC DIV 12 - Furnishings,Expenses,Other Business Expenses
HARD COST:HC DIV 12 - Furnishings:HC 12.1 Art / Murals,Expenses,Other Business Expenses
HARD COST:HC DIV 12 - Furnishings:HC 12.2 Window Treatments,Expenses,Other Business Expenses
HARD COST:HC DIV 12 - Furnishings:HC 12.3 Casework / Kitchen Cabinets,Expenses,Other Business Expenses
HARD COST:HC DIV 12 - Furnishings:HC 12.4 Countertops,Expenses,Other Business Expenses
HARD COST:HC DIV 12 - Furnishings:HC 12.5 Furniture,Expenses,Other Business Expenses
HARD COST:HC DIV 13 - Special Construction,Expenses,Other Business Expenses
HARD COST:HC DIV 13 - Special Construction:HC 13.1 Swimming Pool,Expenses,Other Business Expenses
HARD COST:HC DIV 14 - Conveying Equipment,Expenses,Other Business Expenses
HARD COST:HC DIV 14 - Conveying Equipment:HC 14.1 Elevators,Expenses,Other Business Expenses
HARD COST:HC DIV 14 - Conveying Equipment:HC 14.2 ADA Elevator,Expenses,Other Business Expenses
HARD COST:HC DIV 14 - Conveying Equipment:HC 14.3 Facility Chutes,Expenses,Other Business Expenses
HARD COST:HC DIV 21 - Fire Suppression,Expenses,Other Business Expenses
HARD COST:HC DIV 21 - Fire Suppression:HC 21.1 Water-Based Fire System,Expenses,Other Business Expenses
HARD COST:HC DIV 21 - Fire Suppression:HC 21.2 Fire Underground / Backflow,Expenses,Other Business Expenses
HARD COST:HC DIV 22 - Plumbing,Expenses,Other Business Expenses
HARD COST:HC DIV 22 - Plumbing:HC 22.1 Plumbing Piping,Expenses,Other Business Expenses
HARD COST:HC DIV 22 - Plumbing:HC 22.2 Electric Domestic Water Heaters,Expenses,Other Business Expenses
HARD COST:HC DIV 22 - Plumbing:HC 22.3 Plumbing Fixtures,Expenses,Other Business Expenses
HARD COST:HC DIV 23 - HVAC,Expenses,Other Business Expenses
HARD COST:HC DIV 23 - HVAC:HC 23.1 HVAC Air Distribution,Expenses,Other Business Expenses
"HARD COST:HC DIV 23 - HVAC:HC 23.2 Amenities, Corridors & Lobby HVAC",Expenses,Other Business Expenses
HARD COST:HC DIV 26 - Electrical,Expenses,Other Business Expenses
HARD COST:HC DIV 26 - Electrical:HC 26.0 Electrical Installation,Expenses,Other Business Expenses
HARD COST:HC DIV 26 - Electrical:HC 26.1 Medium-Voltage Main Distribution,Expenses,Other Business Expenses
HARD COST:HC DIV 26 - Electrical:HC 26.2 Medium-Voltage Unit Internal Distribution,Expenses,Other Business Expenses
HARD COST:HC DIV 26 - Electrical:HC 26.3 Low-Voltage,Expenses,Other Business Expenses
HARD COST:HC DIV 26 - Electrical:HC 26.4 Light Fixtures,Expenses,Other Business Expenses
HARD COST:HC DIV 26 - Electrical:HC 26.5 BDA System,Expenses,Other Business Expenses
HARD COST:HC DIV 28 - Electronic Safety & Security,Expenses,Other Business Expenses
HARD COST:HC DIV 28 - Electronic Safety & Security:HC 28.1 Access Control,Expenses,Other Business Expenses
"HARD COST:HC DIV 28 - Electronic Safety & Security:HC 28.3 Security Detection, Alarm & Monitoring",Expenses,Other Business Expenses
HARD COST:HC DIV 28 - Electronic Safety & Security:HC 28.4 Life Safety / Fire Detection & Alarm,Expenses,Other Business Expenses
HARD COST:HC DIV 31 - Earthwork,Expenses,Other Business Expenses
HARD COST:HC DIV 31 - Earthwork:HC 31.1 Site Clearing / Clear and Grub,Expenses,Other Business Expenses
HARD COST:HC DIV 31 - Earthwork:HC 31.2 Civil Earthwork,Expenses,Other Business Expenses
HARD COST:HC DIV 32 - Exterior Improvements,Expenses,Other Business Expenses
HARD COST:HC DIV 32 - Exterior Improvements:HC 32.0 Civil Mobilization,Expenses,Other Business Expenses
"HARD COST:HC DIV 32 - Exterior Improvements:HC 32.1 Paving, Driveways, Curb & Sidewalks",Expenses,Other Business Expenses
HARD COST:HC DIV 32 - Exterior Improvements:HC 32.2 Permanent Pavement Marking & Signage,Expenses,Other Business Expenses
HARD COST:HC DIV 32 - Exterior Improvements:HC 32.3 Fences and Gates,Expenses,Other Business Expenses
HARD COST:HC DIV 32 - Exterior Improvements:HC 32.4 Site Furnishings,Expenses,Other Business Expenses
HARD COST:HC DIV 32 - Exterior Improvements:HC 32.5 Sidewalks / Pavers Inside Property,Expenses,Other Business Expenses
HARD COST:HC DIV 32 - Exterior Improvements:HC 32.6 Manufactured Site Specialties,Expenses,Other Business Expenses
HARD COST:HC DIV 32 - Exterior Improvements:HC 32.7 Irrigation,Expenses,Other Business Expenses
HARD COST:HC DIV 32 - Exterior Improvements:HC 32.8 New Landscape,Expenses,Other Business Expenses
HARD COST:HC DIV 33 - Utilities,Expenses,Other Business Expenses
HARD COST:HC DIV 33 - Utilities:HC 33.1.1 Drainage System - Public Right of Way,Expenses,Other Business Expenses
HARD COST:HC DIV 33 - Utilities:HC 33.1.2 Drainage System - Inside Property,Expenses,Other Business Expenses
HARD COST:HC DIV 33 - Utilities:HC 33.2 Water Domestic,Expenses,Other Business Expenses
HARD COST:HC DIV 33 - Utilities:HC 33.3 Water Fire Line,Expenses,Other Business Expenses
HARD COST:HC DIV 33 - Utilities:HC 33.4 Water Main Line,Expenses,Other Business Expenses
HARD COST:HC DIV 33 - Utilities:HC 33.5 Sanitary Sewer,Expenses,Other Business Expenses
HARD COST:HC DIV 33 - Utilities:HC 33.6 Electrical Utilities,Expenses,Other Business Expenses
HARD COST:HC DIV 33 - Utilities:HC 33.7 Utility Restoration,Expenses,Other Business Expenses
SOFT COST,Expenses,Other Business Expenses
SOFT COST:SC DIV 01 - Land Development / Feasibility,Expenses,Other Business Expenses
SOFT COST:SC DIV 01 - Land Development / Feasibility:SC 1.0 Feasibility and Zoning Analysis,Expenses,Other Business Expenses
SOFT COST:SC DIV 01 - Land Development / Feasibility:SC 1.1 Site Plans Design,Expenses,Other Business Expenses
SOFT COST:SC DIV 01 - Land Development / Feasibility:SC 1.2 Traffic Studies,Expenses,Other Business Expenses
SOFT COST:SC DIV 01 - Land Development / Feasibility:SC 1.3 Land Survey / Plat,Expenses,Other Business Expenses
SOFT COST:SC DIV 01 - Land Development / Feasibility:SC 1.4 Zoning Attorney,Expenses,Other Business Expenses
SOFT COST:SC DIV 01 - Land Development / Feasibility:SC 1.5 Geo Technical Report,Expenses,Other Business Expenses
SOFT COST:SC DIV 01 - Land Development / Feasibility:SC 1.6 Utilities Review Assessment,Expenses,Other Business Expenses
SOFT COST:SC DIV 01 - Land Development / Feasibility:SC 1.7 Zoning / Site Plan Approval,Expenses,Other Business Expenses
SOFT COST:SC DIV 01 - Land Development / Feasibility:SC 1.8 Other - Feasibility,Expenses,Other Business Expenses
SOFT COST:SC DIV 02 - Building Design Fees,Expenses,Other Business Expenses
SOFT COST:SC DIV 02 - Building Design Fees:SC 2.1 Architectural,Expenses,Other Business Expenses
SOFT COST:SC DIV 02 - Building Design Fees:SC 2.2 Structural,Expenses,Other Business Expenses
SOFT COST:SC DIV 02 - Building Design Fees:SC 2.3 MEP,Expenses,Other Business Expenses
